COMMAND,Client,Origin,PWD,"QD_CIPHER","QD_LTM",SessionID,TTY,USER,UserID,"_raw","_time",action,activeThreads,app,bytes,bytesRequested,bytesdiscarded,candidates,classloader,cleared,contextid,count,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",db,default,dest,"dest_host","dest_nt_domain",durationms,dynamicThreshold,enqueued,euid,eventtype,free,from,host,id,idlems,index,intervalms,lastid,lastname,linecount,"macro_fragmented",maxThreshold,name,"non_tlh",objects,"pam_module","pam_module_type",percent,pid,process,punct,reference,ruser,source,sourcetype,"splunk_server","splunk_server_group",src,"src_ip","src_user",success,system,systemtimems,tag,"tag::app","tag::eventtype","tag::sourcetype",tenureage,tenuremask,threadId,threadName,threads,tiltratio,timeendpos,timems,timestamp,timestartpos,tlh,total,totalBytes,totalBytesRequested,type,uid,unit,"unix_category","unix_group",user,usertimems,"vendor_action","vendor_product"
,Unknown,"vpl-dstg0007x.surescripts.int",,,,"767f437d-446f-4079-a4a4-fda0cf969354",,,InformationServerSystemUser,"2020-10-28 08:43:34.045 CDT FINE: LOGOUT (InformationServerSystemUser): UserID=""InformationServerSystemUser"", Client=""Unknown"", Origin=""vpl-dstg0007x.surescripts.int"", SessionID=""767f437d-446f-4079-a4a4-fda0cf969354"" ","2020-10-28T13:43:34.045+0000",,,,,,,,,,,,8,28,43,october,34,wednesday,2020,"-300",,,,,,,,,,,,,"vpl-dstg0007x.surescripts.int",,,datastage,,,,1,,,,,,,,,,,"--_::.__:__():_="""",_="""",_=""-.."",_=""----""_",,,"/opt/IBM/WebSphere/AppServer/profiles/InfoSphere/logs/ISauditLog_0.log","ISauditLog-2","vpl-spin0002x.surescripts.ext",,,,,,,,,,,,,,,,,,27,,,0,,,,,,,,"all_hosts",default,,,,
,Unknown,"vpl-dstg0007x.surescripts.int",,,,"767f437d-446f-4079-a4a4-fda0cf969354",,,InformationServerSystemUser,"2020-10-28 08:43:34.032 CDT FINE: LOGIN (InformationServerSystemUser): UserID=""InformationServerSystemUser"", Client=""Unknown"", Origin=""vpl-dstg0007x.surescripts.int"", SessionID=""767f437d-446f-4079-a4a4-fda0cf969354"" ","2020-10-28T13:43:34.032+0000",,,,,,,,,,,,8,28,43,october,34,wednesday,2020,"-300",,,,,,,,,,,,,"vpl-dstg0007x.surescripts.int",,,datastage,,,,1,,,,,,,,,,,"--_::.__:__():_="""",_="""",_=""-.."",_=""----""_",,,"/opt/IBM/WebSphere/AppServer/profiles/InfoSphere/logs/ISauditLog_0.log","ISauditLog-2","vpl-spin0002x.surescripts.ext",,,,,,,,,,,,,,,,,,27,,,0,,,,,,,,"all_hosts",default,,,,
,,,,,,,,,,"\x00\x00\x00\x00\x00\xEA!\x00\x00\x9E`\xA2\x98\xC7\x00\x00\x00uos\xB3\x00\x00\x00>odf-request-57627802-2ff5-4c98-b1ba-f29c2f65cc42_1603892614322\x00\x00J{""annotation"":null,""analysisRequestTracker"":{""request"":{""id"":""odf-request-57627802-2ff5-4c98-b1ba-f29c2f65cc42_1603892614322"",""correlationId"":null,""dataSets"":[[{""id"":""odf-health-test-dummy-data-set-id95bcbe74-5ff3-43c7-886f-7c8af786439f"",""repositoryId"":null,""url"":null}]],""initialAnnotations"":[],""discoveryServiceSequence"":[""odf-health-test-discovery-service-id""],""annotationTypes"":[],""additionalProperties"":{},""processDataSetsSequentially"":true,""ignoreDataSetCheck"":false,""parentRequest"":null,""generatedByBulkRequest"":false,""origin"":null,""description"":null,""user"":null,""queue"":""standard"",""initialDiagnostics"":null},""discoveryServiceRequests"":[{""discoveryServiceId"":""odf-health-test-discovery-service-id"",""additionalProperties"":null,""user"":""root"",""dataSetContainer"":null,""odfRequestId"":""odf-request-57627802-2ff5-4c98-b1ba-f29c2f65cc42_1603892614322"",""sequenceNumber"":0,""initialAnnotations"":[],""odfUrl"":null,""odfUser"":null,""odfPassword"":null,""putOnRequestQueue"":1603892614323,""takenFromRequestQueue"":0,""startTime"":0,""finishedProcessing"":0,""timeSpentStoringResults"":0,""odfOverheadTime"":0}],""discoveryServiceResponses"":[],""status"":""IN_DISCOVERY_SERVICE_QUEUE"",""statusDetails"":null,""lastModified"":1603892614323,""submissionTime"":1603892614322,""startTime"":0,""totalTimeProcessing"":0,""completionTime"":0,""odfOverheadTime"":1,""user"":""root"",""revisionId"":""ecbd3ab0-6670-43cb-9aa3-9ab474d1adb0_1603892614323"",""dataSetContainer"":{""dataSets"":[{""reference"":{""id"":""odf-health-test-dummy-data-set-id95bcbe74-5ff3-43c7-886f-7c8af786439f"",""repositoryId"":null,""url"":null},""description"":null,""name"":null,""javaClass"":""com.ibm.iis.odf.api.metadata.models.UnknownDataSet"",""originRef"":null,""replicaRefs"":null}],""metaDataCache"":null},""initialAnnotations"":[],""nextDiscoveryServiceRequest"":0,""bulkSize"":1,""bulkRequestStatus"":null},""discoveryServiceResponseMessageContents"":null,""startupId"":null}\x00\x00\x00\x00\x00\xEA""\x00\x00\xB5%\x81\x8B\xBD\x00\x00\x00uos\xC9\x00\x00\x00>odf-request-57627802-2ff5-4c98-b1ba-f29c2f65cc42_1603892614322\x00\x00a{""annotation"":null,""analysisRequestTracker"":{""request"":{""id"":""odf-request-57627802-2ff5-4c98-b1ba-f29c2f65cc42_1603892614322"",""correlationId"":null,""dataSets"":[[{""id"":""odf-health-test-dummy-data-set-id95bcbe74-5ff3-43c7-886f-7c8af786439f"",""repositoryId"":null,""url"":null}]],""initialAnnotations"":[],""discoveryServiceSequence"":[""odf-health-test-discovery-service-id""],""annotationTypes"":[],""additionalProperties"":{},""processDataSetsSequentially"":true,""ignoreDataSetCheck"":false,""parentRequest"":null,""generatedByBulkRequest"":false,""origin"":null,""description"":null,""user"":null,""queue"":""standard"",""initialDiagnostics"":null},""discoveryServiceRequests"":[{""discoveryServiceId"":""odf-health-test-discovery-service-id"",""additionalProperties"":null,""user"":""root"",""dataSetContainer"":null,""odfRequestId"":""odf-request-57627802-2ff5-4c98-b1ba-f29c2f65cc42_1603892614322"",""sequenceNumber"":0,""initialAnnotations"":[],""odfUrl"":null,""odfUser"":null,""odfPassword"":null,""putOnRequestQueue"":1603892614323,""takenFromRequestQueue"":1603892614344,""startTime"":0,""finishedProcessing"":0,""timeSpentStoringResults"":0,""odfOverheadTime"":0}],""discoveryServiceResponses"":[],""status"":""DISCOVERY_SERVICE_RUNNING"",""statusDetails"":null,""lastModified"":1603892614323,""submissionTime"":1603892614322,""startTime"":1603892614344,""totalTimeProcessing"":0,""completionTime"":0,""odfOverheadTime"":1,""user"":""root"",""revisionId"":""e18d27a4-0028-45aa-95a1-3c94aa004736_1603892614345"",""dataSetContainer"":{""dataSets"":[{""reference"":{""id"":""odf-health-test-dummy-data-set-id95bcbe74-5ff3-43c7-886f-7c8af786439f"",""repositoryId"":null,""url"":null},""description"":null,""name"":null,""javaClass"":""com.ibm.iis.odf.api.metadata.models.UnknownDataSet"",""originRef"":null,""replicaRefs"":null}],""metaDataCache"":null},""initialAnnotations"":[],""nextDiscoveryServiceRequest"":0,""bulkSize"":1,""bulkRequestStatus"":null},""discoveryServiceResponseMessageContents"":null,""startupId"":null}\x00\x00\x00\x00\x00\xEA#\x00\x00kܢRd\x00\x00\x00uos\xDE\x00\x00\x00>odf-request-57627802-2ff5-4c98-b1ba-f29c2f65cc42_1603892614322\x00\x00{""annotation"":null,""analysisRequestTracker"":{""request"":{""id"":""odf-request-57627802-2ff5-4c98-b1ba-f29c2f65cc42_1603892614322"",""correlationId"":null,""dataSets"":[[{""id"":""odf-health-test-dummy-data-set-id95bcbe74-5ff3-43c7-886f-7c8af786439f"",""repositoryId"":null,""url"":null}]],""initialAnnotations"":[],""discoveryServiceSequence"":[""odf-health-test-discovery-service-id""],""annotationTypes"":[],""additionalProperties"":{},""processDataSetsSequentially"":true,""ignoreDataSetCheck"":false,""parentRequest"":null,""generatedByBulkRequest"":false,""origin"":null,""description"":null,""user"":null,""queue"":""standard"",""initialDiagnostics"":null},""discoveryServiceRequests"":[{""discoveryServiceId"":""odf-health-test-discovery-service-id"",""additionalProperties"":null,""user"":""root"",""dataSetContainer"":null,""odfRequestId"":""odf-request-57627802-2ff5-4c98-b1ba-f29c2f65cc42_1603892614322"",""sequenceNumber"":0,""initialAnnotations"":[],""odfUrl"":null,""odfUser"":null,""odfPassword"":null,""putOnRequestQueue"":1603892614323,""takenFromRequestQueue"":1603892614344,""startTime"":1603892614366,""finishedProcessing"":1603892614366,""timeSpentStoringResults"":0,""odfOverheadTime"":22}],""discoveryServiceResponses"":[{""type"":""sync"",""code"":""OK"",""details"":""Health check service finished successfully"",""result"":null,""serviceDiagnostics"":null}],""status"":""FINISHED"",""statusDetails"":""All discovery services ran successfully"",""lastModified"":1603892614366,""submissionTime"":1603892614322,""startTime"":1603892614344,""totalTimeProcessing"":0,""completionTime"":1603892614366,""odfOverheadTime"":23,""user"":""root"",""revisionId"":""7d336f05-3b21-4a30-85c2-1d6a7fa46769_1603892614366"",""dataSetContainer"":{""dataSets"":[{""reference"":{""id"":""odf-health-test-dummy-data-set-id95bcbe74-5ff3-43c7-886f-7c8af786439f"",""repositoryId"":null,""url"":null},""description"":null,""name"":null,""javaClass"":""com.ibm.iis.odf.api.metadata.models.UnknownDataSet"",""originRef"":null,""replicaRefs"":null}],""metaDataCache"":null},""initialAnnotations"":null,""nextDiscoveryServiceRequest"":1,""bulkSize"":1,""bulkRequestStatus"":null},""discoveryServiceResponseMessageContents"":null,""startupId"":null}","2020-10-28T13:43:34.000+0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mpl-dstg0007x.surescripts.int",,,datastage,,,,1,,,,,,,,,,,"\\\\\\!\\\\\\\\\\\\\>------\\{"""":,"""":{"""":{"""":""----",,,"/opt/IBM/InformationServer/shared-open-source/kafka/data/1/odf-status-topic-0/00000000000000124957.log","00000000000000124957-too_small","mpl-spin0004x.surescripts.ext",,,,,,,,,,,,,,,,,,,,none,,,,,,,,,"all_hosts",default,,,,
,,,,,,,,,,"\x00\x00\x00\x00\x00\x00\xA3\\x00\x00\xAF\xB1K\xB2\x84\x00\x00\x00uos\xC8\x00\x00\x00>odf-request-57627802-2ff5-4c98-b1ba-f29c2f65cc42_1603892614322\x00\x00[{""serviceId"":""odf-health-test-discovery-service-id"",""odfRequestId"":""odf-request-57627802-2ff5-4c98-b1ba-f29c2f65cc42_1603892614322"",""parentRequestId"":null,""generatedByBulkRequest"":false,""currentService"":0,""dataSets"":[{""id"":""odf-health-test-dummy-data-set-id95bcbe74-5ff3-43c7-886f-7c8af786439f"",""repositoryId"":null,""url"":null}],""queue"":""standard""}","2020-10-28T13:43:34.000+0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mpl-dstg0007x.surescripts.int",,,datastage,,,,1,,,,,,,,,,,"\\\\\\\\\\\\\\\\\\\\\>------\\[{"""":""-----"","""":""---",,,"/opt/IBM/InformationServer/shared-open-source/kafka/data/1/odf-runtime-HealthCheck-0/00000000000000041648.log","00000000000000041648-too_small","mpl-spin0004x.surescripts.ext",,,,,,,,,,,,,,,,,,,,none,,,,,,,,,"all_hosts",default,,,,
,,,,,,,,,,"Oct 28 08:43:34 vpl-dstg0007x journal: entering main loop","2020-10-28T13:43:34.000+0000",,,,,,,,,,,,8,28,43,october,34,wednesday,2020,local,,,,,,,,,,,,,"vpl-dstg0007x",,,os,,,,1,,,,,,,,,,journal,"__::_-_:___",,,"/var/log/messages",syslog,"vpl-spin0002x.surescripts.ext",,,,,,,,,,,,,,,,,,15,,,0,,,,,,,,"all_hosts",default,,,,
,,,,,,,,,,"Oct 28 08:43:34 vpl-dstg0007x journal: D-Bus service launched with name: net.reactivated.Fprint","2020-10-28T13:43:34.000+0000",,,,,,,,,,,,8,28,43,october,34,wednesday,2020,local,,,,,,,,,,,,,"vpl-dstg0007x",,,os,,,,1,,,,,,,,,,journal,"__::_-_:_-____:_..",,,"/var/log/messages",syslog,"vpl-spin0002x.surescripts.ext",,,,,,,,,,,,,,,,,,15,,,0,,,,,,,,"all_hosts",default,,,,
,,,,,,,,,,"Oct 28 08:43:34 vpl-dstg0007x fprintd: Launching FprintObject","2020-10-28T13:43:34.000+0000",,,,,,,,,,,,8,28,43,october,34,wednesday,2020,local,,,,,,,,,,,,,"vpl-dstg0007x",,,os,,,,1,,,,,,,,,,fprintd,"__::_-_:__",,,"/var/log/messages",syslog,"vpl-spin0002x.surescripts.ext",,,,,,,,,,,,,,,,,,15,,,0,,,,,,,,"all_hosts",default,,,,
,,,,,,,,,,"Oct 28 08:43:34 vpl-dstg0007x systemd: Started Fingerprint Authentication Daemon.","2020-10-28T13:43:34.000+0000",,,,,,,,,,,,8,28,43,october,34,wednesday,2020,local,,,,,,,,,,,,,"vpl-dstg0007x",,,os,,,,1,,,,,,,,,,systemd,"__::_-_:____.",,,"/var/log/messages",syslog,"vpl-spin0002x.surescripts.ext",,,,,,,,,,,,,,,,,,15,,,0,,,,,,,,"all_hosts",default,,,,
,,,,,,,,,,"Oct 28 08:43:34 vpl-dstg0007x dbus[1229]: [system] Successfully activated service 'net.reactivated.Fprint'","2020-10-28T13:43:34.000+0000",,,,,,,,,,,,8,28,43,october,34,wednesday,2020,local,,,,,,,,,,,,,"vpl-dstg0007x",,,os,,,,1,,,,,,,,,1229,dbus,"__::_-_[]:_[]____'..'",,,"/var/log/messages",syslog,"vpl-spin0002x.surescripts.ext",,,,,,,,,,,,,,,,,,15,,,0,,,,,,,,"all_hosts",default,,,,
,,,,,,,,,,"Oct 28 08:43:34 vpl-dstg0007x systemd: Starting Fingerprint Authentication Daemon...","2020-10-28T13:43:34.000+0000",,,,,,,,,,,,8,28,43,october,34,wednesday,2020,local,,,,,,,,,,,,,"vpl-dstg0007x",,,os,,,,1,,,,,,,,,,systemd,"__::_-_:____...",,,"/var/log/messages",syslog,"vpl-spin0002x.surescripts.ext",,,,,,,,,,,,,,,,,,15,,,0,,,,,,,,"all_hosts",default,,,,
,,,,,,,,,,"Oct 28 08:43:34 vpl-dstg0007x dbus[1229]: [system] Activating via systemd: service name='net.reactivated.Fprint' unit='fprintd.service'","2020-10-28T13:43:34.000+0000",,,,,,,,,,,,8,28,43,october,34,wednesday,2020,local,,,,,,,,,,,,,"vpl-dstg0007x",,,os,,,,1,,,"'net.reactivated.Fprint'",,,,,,1229,dbus,"__::_-_[]:_[]___:__='..'_='.'",,,"/var/log/messages",syslog,"vpl-spin0002x.surescripts.ext",,,,,,,,,,,,,,,,,,15,,,0,,,,,,,"'fprintd.service'","all_hosts",default,,,,
"/sbin/lvs --noheadings -o vg_name",,,"/home/zenoss",,,,unknown,root,,"Oct 28 08:43:34 vpl-dstg0007x sudo:  zenoss : TTY=unknown ; PWD=/home/zenoss ; USER=root ; COMMAND=/sbin/lvs --noheadings -o vg_name,lv_name,lv_attr","2020-10-28T13:43:34.000+0000",,,sudo,,,,,,,,,8,28,43,october,34,wednesday,2020,local,,,"vpl-dstg0007x.surescripts.int","vpl-dstg0007x.surescripts.int",,,,,,,,,"vpl-dstg0007x.surescripts.int",,,os,,,,1,,,,,,,,,,sudo,"__::_-_:___:_=_;_=//_;_=_;_=//_--_-_,,",,,"/var/log/secure","linux_secure","vpl-spin0002x.surescripts.ext",,,,,,,,,,,,,,,,,,16,,,0,,,,,,,,"all_hosts",default,,,,sudo
,,,,,,,,,,"Oct 28 08:43:34 vpl-dstg0007x sudo: pam_unix(sudo:auth): auth could not identify password for [zenoss]","2020-10-28T13:43:34.000+0000",,,sudo,,,,,,,,,8,28,43,october,34,wednesday,2020,local,,,"vpl-dstg0007x.surescripts.int","vpl-dstg0007x.surescripts.int",,,,,,,,,"vpl-dstg0007x.surescripts.int",,,os,,,,1,,,,,,sudo,auth,,,sudo,"__::_-_:_(:):_______[]",,,"/var/log/secure","linux_secure","vpl-spin0002x.surescripts.ext",,,,,,,,,,,,,,,,,,16,,,0,,,,,,,,"all_hosts",default,,,,sudo
,,,,,,,,,,"Oct 28 08:43:34 vpl-dstg0007x sudo: pam_unix(sudo:auth): conversation failed","2020-10-28T13:43:34.000+0000",,,sudo,,,,,,,,,8,28,43,october,34,wednesday,2020,local,,,"vpl-dstg0007x.surescripts.int","vpl-dstg0007x.surescripts.int",,,,,,,,,"vpl-dstg0007x.surescripts.int",,,os,,,,1,,,,,,sudo,auth,,,sudo,"__::_-_:_(:):__",,,"/var/log/secure","linux_secure","vpl-spin0002x.surescripts.ext",,,,,,,,,,,,,,,,,,16,,,0,,,,,,,,"all_hosts",default,,,,sudo
,Unknown,"vpl-dstg0007x.surescripts.int",,,,"9cfb2c06-3883-4b96-a4a4-9b185678d3e4",,,InformationServerSystemUser,"2020-10-28 08:43:33.902 CDT FINE: LOGOUT (InformationServerSystemUser): UserID=""InformationServerSystemUser"", Client=""Unknown"", Origin=""vpl-dstg0007x.surescripts.int"", SessionID=""9cfb2c06-3883-4b96-a4a4-9b185678d3e4"" ","2020-10-28T13:43:33.902+0000",,,,,,,,,,,,8,28,43,october,33,wednesday,2020,"-300",,,,,,,,,,,,,"vpl-dstg0007x.surescripts.int",,,datastage,,,,1,,,,,,,,,,,"--_::.__:__():_="""",_="""",_=""-.."",_=""----""_",,,"/opt/IBM/WebSphere/AppServer/profiles/InfoSphere/logs/ISauditLog_0.log","ISauditLog-2","vpl-spin0002x.surescripts.ext",,,,,,,,,,,,,,,,,,27,,,0,,,,,,,,"all_hosts",default,,,,
,Unknown,"vpl-dstg0007x.surescripts.int",,,,"9cfb2c06-3883-4b96-a4a4-9b185678d3e4",,,InformationServerSystemUser,"2020-10-28 08:43:33.888 CDT FINE: LOGIN (InformationServerSystemUser): UserID=""InformationServerSystemUser"", Client=""Unknown"", Origin=""vpl-dstg0007x.surescripts.int"", SessionID=""9cfb2c06-3883-4b96-a4a4-9b185678d3e4"" ","2020-10-28T13:43:33.888+0000",,,,,,,,,,,,8,28,43,october,33,wednesday,2020,"-300",,,,,,,,,,,,,"vpl-dstg0007x.surescripts.int",,,datastage,,,,1,,,,,,,,,,,"--_::.__:__():_="""",_="""",_=""-.."",_=""----""_",,,"/opt/IBM/WebSphere/AppServer/profiles/InfoSphere/logs/ISauditLog_0.log","ISauditLog-2","vpl-spin0002x.surescripts.ext",,,,,,,,,,,,,,,,,,27,,,0,,,,,,,,"all_hosts",default,,,,
,,,,,,,,,,"2020-10-28 08:43:33,427 WARN com.ibm.datastage.runtime.resmonapp.RTManager.IsResTrackAppRunning(RTManager.java:1183) - ResTrackApp process is not running: 0","2020-10-28T13:43:33.427+0000",,,,,,,,,,,,8,28,43,october,33,wednesday,2020,local,,,,,,,,,,,,,"mpl-dstg0007x.surescripts.int",,,datastage,,,,1,,,,,,,,,,,"--_::,__......(.:)_-_____:_",,,"/opt/IBM/InformationServer/Server/DSODB/logs/ResMonApp-20201007110517088.log","ResMonApp-2","mpl-spin0004x.surescripts.ext",,,,,,,,,,,,,,,,,,24,,,0,,,,,,,,"all_hosts",default,,,,
,,,,,,,,,,"[10/28/20 8:43:31:653 CDT] 000000d2 SystemErr     R 	... 5 more","2020-10-28T13:43:31.653+0000",,,,,,,,,,,,8,28,43,october,31,wednesday,2020,"-300",,,,,,,,,,,,,"vpl-dstg0007x.surescripts.int",,,datastage,,,,1,,,,,,,,,,,"[//_:::_]________t...__",,,"/opt/IBM/WebSphere/AppServer/profiles/InfoSphere/logs/server1/SystemErr.log",SystemErr,"vpl-spin0002x.surescripts.ext",,,,,,,,,,,,,,,,,,25,,,1,,,,,,,,"all_hosts",default,,,,
